timestamp,-1,0,1,2,Exchange Rate
2022-03-09 18:30:00,306.0,307.009999982547,307.55998206302075,310.749878132903,BCHUSD
2022-03-09 20:00:00,310.77,309.7600000116485,310.7800000027462,310.20000000544655,BCHUSD
2022-03-09 21:30:00,310.2,308.6500000490807,307.91000003875104,306.07898906553277,BCHUSD
2022-03-09 23:00:00,305.93,306.7699999997858,307.2700163011424,321.73950602867933,BCHUSD
2022-03-09 18:30:00,42350.05,42224.379997739605,42207.430198856644,42319.96886940736,BTCUSD
2022-03-09 20:00:00,42320.47,42098.420005979984,42018.37190708571,41900.594707360266,BTCUSD
2022-03-09 21:30:00,41901.59,42217.73999165678,42103.929996355706,41841.22999944092,BTCUSD
2022-03-09 23:00:00,41841.23,41807.190000539595,41902.552284622,41958.07982337317,BTCUSD
2022-03-09 18:30:00,2745.19,2744.2999999886197,2738.9800000693454,2743.270000176912,ETHUSD
2022-03-09 20:00:00,2743.27,2720.4499995728956,2709.0399995579605,2689.6199997375593,ETHUSD
2022-03-09 21:30:00,2689.61,2713.6600006832464,2710.8400631519808,2685.5682923979825,ETHUSD
2022-03-09 23:00:00,2685.38,2692.469999889452,2707.8800000490346,2716.397169008475,ETHUSD
2022-03-09 18:30:00,108.71,108.40000000103842,108.49000000086698,108.2900000046838,LTCUSD
2022-03-09 20:00:00,108.17,107.06000001817942,107.20000001880855,106.72000003988398,LTCUSD
2022-03-09 21:30:00,106.72,106.85000000113621,106.63999998961118,105.9200674953688,LTCUSD
2022-03-09 23:00:00,106.0,106.30000000447035,106.68000000477038,106.5997668561277,LTCUSD
2022-03-09 18:30:00,0.7632,0.7603999999187887,0.7635999999363283,0.7689999997965522,RPLUSD
2022-03-09 20:00:00,0.769,0.7609000002685935,0.7601000003040157,0.7583000002468343,RPLUSD
2022-03-09 21:30:00,0.7583,0.7610000000572763,0.7617000000749193,0.760000000064461,RPLUSD
2022-03-09 23:00:00,0.7601,0.7605000000076311,0.7616000000101799,0.7623996850354058,RPLUSD
